Garage Door Saloon,91,21,$1 Bud Light 16oz Drafts Til Midnight,Drink Special,Tuesday,Until 12:00AM
Garage Door Saloon,92,21,$4 Bud Light Pitchers All Day,Drink Special,Tuesday,All Day
Garage Door Saloon,93,21,$1 Michelob Ultra 16oz Drafts,Drink Special,Wednesday,Until 12:00AM
Garage Door Saloon,94,21,$4 Michelob Ultra Pitchers Til Midnight,Drink Special,Wednesday,Until 12:00AM
Garage Door Saloon,95,21,$1 Coors Light 16oz Drafts Til Midnight,Drink Special,Thursday,Until 12:00AM
Garage Door Saloon,96,21,$4 Coors Light Pitchers Til Midnight,Drink Special,Thursday,Until 12:00AM
Garage Door Saloon,97,21,$1 Yuengling 16oz Drafts Til Midnight,Drink Special,Friday,Until 12:00AM
Garage Door Saloon,98,21,$4 Yuengling Pitchers Til Midnight,Drink Special,Friday,Until 12:00AM
Bootleggers,99,22,Yuengling Bottles $1.50,Drink Special,Monday,9:00PM - 11:00PM
Bootleggers,100,22,"$2.00 Import Night, Including Guinness Draft",Drink Special,Tuesday,9:00PM - 11:00PM
Bootleggers,101,22,$4 Pitchers,Drink Special,Wednesday,9:00PM - 11:00PM
Bootleggers,102,22,"$4 Miller, Miller Lite, And Mgd Pitchers",Drink Special,Thursday,9:00PM - 11:00PM
Bootleggers,103,22,12 Wings For $3.75.,Food Special,Thursday,9:00PM - 11:00PM
Bootleggers,104,22,"$1.25 Miller. Miller Lite, And Mgd Bottles",Drink Special,Friday,9:00PM - 11:00PM
Bootleggers,105,22,$1 Well Drinks,Drink Special,Saturday,9:00PM - 11:00PM
Mint,106,23,2 Hose Hookah $14.99,Entertainment,"Sunday, Monday, Tuesday, Wednesday, Thursday",5:00PM - 1:00AM
Mint,107,23,3 Hose Hookah $17.99,Entertainment,"Friday, Saturday",5:00PM - 4:00AM
Sphinx Cafe,108,24,$15.00 2 Hose Hookah,Entertainment,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",4:00PM - 1:00AM
Little Asia,109,25,$6.50 Chinese Food Lunch Special,Food Special,"Monday, Tuesday, Wednesday, Thursday, Friday",11:00AM - 2:30PM
Little Asia,110,25,$8.95 - $13.95 Japanese Food Lunch Special,Food Special,"Monday, Tuesday, Wednesday, Thursday, Friday",11:00AM - 2:30PM
Little Asia,111,25,$7.49 - $11.49 Maki Food Lunch Special,Food Special,"Monday, Tuesday, Wednesday, Thursday, Friday",11:00AM - 2:30PM
Little Asia,112,25,$6.95 - $7.95 Student Lunch Special,Food Special,"Monday, Tuesday, Wednesday, Thursday, Friday",11:00AM - 2:30PM
Little Asia,113,25,$11.95 - $14.99 Daily Sushi Specials,Food Special,"Monday, Tuesday, Wednesday, Thursday, Friday",All Day
Eatunique,114,26,Large House Soup $4.79,Food Special,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",11:00AM - 8:00PM
